run_id,run,method,seed,snapshot,step,checkpoint_fraction,layer,target_module,quantized_base,delta_direction,delta_magnitude_paper,delta_magnitude_rel,coefficient_update_rel,effective_weight_update_rel,quant_delta_direction,total_delta_direction,quant_delta_magnitude_paper,quant_delta_magnitude_rel,total_delta_magnitude_paper,total_delta_magnitude_rel
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,4,q_proj,False,0.006011232268065214,0.007851600646972656,0.009076879359781742,0.09237755835056305,0.0922863706946373,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,5,q_proj,False,0.007875122129917145,0.008340857923030853,0.0097291748970747,0.09764160215854645,0.09745178371667862,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,0,up_proj,False,0.01842789724469185,0.008931375108659267,0.016657518222928047,0.19469131529331207,0.1924385279417038,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,1,up_proj,False,0.017405059188604355,0.00895640254020691,0.016421671956777573,0.1891413927078247,0.18704254925251007,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,2,up_proj,False,0.017582379281520844,0.00881690252572298,0.01628277450799942,0.19022004306316376,0.187954381108284,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,3,up_proj,False,0.016819488257169724,0.008852328173816204,0.016720730811357498,0.18591658771038055,0.18393199145793915,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,4,up_proj,False,0.014855916611850262,0.008950742892920971,0.017260991036891937,0.17403991520404816,0.17267917096614838,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,5,up_proj,False,0.014493828639388084,0.008992508985102177,0.01724819280207157,0.1716882288455963,0.17041483521461487,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,0,v_proj,False,0.018565179780125618,0.008845318108797073,0.02707020565867424,0.192738339304924,0.19081957638263702,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,1,v_proj,False,0.01652616262435913,0.008322367444634438,0.021050572395324707,0.17595911026000977,0.17438995838165283,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,2,v_proj,False,0.029326537624001503,0.008354485966265202,0.024939443916082382,0.22519239783287048,0.22008590400218964,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,3,v_proj,False,0.01853753626346588,0.00875997543334961,0.021982887759804726,0.18891118466854095,0.18687649071216583,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,4,v_proj,False,0.017275705933570862,0.00854973029345274,0.01995571330189705,0.17454025149345398,0.1727016568183899,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,fraction_0.75_step_23967,23967,0.75,5,v_proj,False,0.02253248542547226,0.008475061506032944,0.023993391543626785,0.2081192433834076,0.2049385905265808,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,0,down_proj,False,0.013382570818066597,0.009193100966513157,0.009185956791043282,0.16332799196243286,0.16167494654655457,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,1,down_proj,False,0.010373820550739765,0.00891133677214384,0.008885590359568596,0.14532434940338135,0.14374811947345734,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,2,down_proj,False,0.01208193227648735,0.009063560515642166,0.00893953163176775,0.1564250886440277,0.15511180460453033,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,3,down_proj,False,0.012902889400720596,0.00918385200202465,0.009254897944629192,0.16112810373306274,0.1596258282661438,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,4,down_proj,False,0.01186634972691536,0.00915400218218565,0.009470146149396896,0.1543920934200287,0.1531645953655243,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,5,down_proj,False,0.011336885392665863,0.00922967866063118,0.009506965056061745,0.15032297372817993,0.14915867149829865,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,0,k_proj,False,0.007323681842535734,0.00757147092372179,0.005770439747720957,0.09706974029541016,0.09586380422115326,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,1,k_proj,False,0.0023283339105546474,0.006519237998872995,0.005091069266200066,0.053681373596191406,0.053805477917194366,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,2,k_proj,False,0.003907591104507446,0.007489483337849379,0.005557795986533165,0.06503651291131973,0.06501484662294388,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,3,k_proj,False,0.0029638756532222033,0.007899237796664238,0.005807159468531609,0.06554989516735077,0.06564339250326157,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,4,k_proj,False,0.0026342542842030525,0.007559140678495169,0.00576282711699605,0.06366948038339615,0.06375868618488312,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,5,k_proj,False,0.004875705577433109,0.008469715714454651,0.00634234631434083,0.07646636664867401,0.07634003460407257,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,0,q_proj,False,0.012085270136594772,0.0077974614687263966,0.00876208208501339,0.11876217275857925,0.1173330694437027,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,1,q_proj,False,0.005195871461182833,0.006898117251694202,0.00775387417525053,0.08003159612417221,0.08003458380699158,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,2,q_proj,False,0.007650635205209255,0.007820195518434048,0.00900684017688036,0.09639828652143478,0.09612785279750824,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,3,q_proj,False,0.006063815206289291,0.007915675640106201,0.009035014547407627,0.09560002386569977,0.09555421024560928,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,4,q_proj,False,0.0064456891268491745,0.007972601801156998,0.00921518262475729,0.09561845660209656,0.09547791630029678,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,5,q_proj,False,0.008455775678157806,0.008486319333314896,0.009912874549627304,0.10108225792646408,0.10082351416349411,,,,,,
dora-seed42,DoRA (seed 42),DoRA,42,final_step_31956,31956,1.0,0,up_proj,False,0.019649764522910118,0.00910447258502245,0.01698126457631588,0.20126084983348846,0.19875553250312805,,,,,,
